2025-09-25 17:14:41,725 p=7132 u=root n=ansible | [DEPRECATION WARNING]: DEFAULT_GATHER_SUBSET option, the module_defaults 
2025-09-25 17:33:19,873 p=21549 u=root n=ansible | TASK [swarm_init : Save worker join token (only if master)] **************************************************************************************************
2025-09-25 17:33:21,355 p=21549 u=root n=ansible | changed: [test-master]
2025-09-25 17:33:21,368 p=21549 u=root n=ansible | TASK [swarm_init : Write join token to file] *****************************************************************************************************************
2025-09-25 17:33:23,800 p=21549 u=root n=ansible | ok: [test-master]
2025-09-25 17:33:23,890 p=21549 u=root n=ansible | PLAY [Join workers to Swarm] *********************************************************************************************************************************
2025-09-25 17:33:23,990 p=21549 u=root n=ansible | TASK [swarm_join : Check if node is already part of a Swarm] *************************************************************************************************
2025-09-25 17:33:25,802 p=21549 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:33:25,897 p=21549 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:33:25,978 p=21549 u=root n=ansible | TASK [swarm_join : Join worker to Swarm] *********************************************************************************************************************
2025-09-25 17:33:26,107 p=21549 u=root n=ansible | skipping: [test-worker1]
2025-09-25 17:33:26,123 p=21549 u=root n=ansible | skipping: [test-worker2]
2025-09-25 17:33:26,270 p=21549 u=root n=ansible | PLAY [Deploy DB stack on master] *****************************************************************************************************************************
2025-09-25 17:33:26,331 p=21549 u=root n=ansible | TASK [db_stack : Ensure /opt/wordpress directory exists] *****************************************************************************************************
2025-09-25 17:33:27,787 p=21549 u=root n=ansible | ok: [test-master]
2025-09-25 17:33:27,818 p=21549 u=root n=ansible | TASK [db_stack : Deploy DB stack] ****************************************************************************************************************************
2025-09-25 17:33:30,466 p=21549 u=root n=ansible | ok: [test-master]
2025-09-25 17:33:30,480 p=21549 u=root n=ansible | TASK [db_stack : Start DB stack] *****************************************************************************************************************************
2025-09-25 17:33:35,392 p=21549 u=root n=ansible | changed: [test-master]
2025-09-25 17:33:35,461 p=21549 u=root n=ansible | PLAY [Deploy WordPress stack on Swarm] ***********************************************************************************************************************
2025-09-25 17:33:35,493 p=21549 u=root n=ansible | TASK [wordpress_stack : Deploy WordPress stack] **************************************************************************************************************
2025-09-25 17:33:37,939 p=21549 u=root n=ansible | ok: [test-master]
2025-09-25 17:33:37,953 p=21549 u=root n=ansible | TASK [wordpress_stack : Start WordPress stack] ***************************************************************************************************************
2025-09-25 17:33:43,659 p=21549 u=root n=ansible | changed: [test-master]
2025-09-25 17:33:43,814 p=21549 u=root n=ansible | PLAY RECAP ***************************************************************************************************************************************************
2025-09-25 17:33:43,815 p=21549 u=root n=ansible | test-master                : ok=23   changed=10   unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2025-09-25 17:33:43,815 p=21549 u=root n=ansible | test-worker1               : ok=15   changed=6    unreachable=0    failed=0    skipped=1    rescued=0    ignored=0   
2025-09-25 17:33:43,815 p=21549 u=root n=ansible | test-worker2               : ok=15   changed=6    unreachable=0    failed=0    skipped=1    rescued=0    ignored=0   
2025-09-26 08:56:32,233 p=3353 u=root n=ansible | [DEPRECATION WARNING]: DEFAULT_GATHER_SUBSET option, the module_defaults 
keyword is a more generic version and can apply to all calls to the 
